1;1.3.2.02.01.02.003;Mini Bus;TOYOTA RUSH; MHFE2CJ3JEK090900; MHFE2CJ3JEK090900; DEV1752 ;D 1320 A;2014;Unit;Unit;206580000;Oprasional UPTD PLD;8;206580000;206580000;0
156;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;56;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
157;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;57;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
158;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;58;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
159;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;59;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
160;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;60;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
161;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;61;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
162;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;62;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
163;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;63;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
164;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;64;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
165;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;65;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
166;1.3.2.10.02.04.024;Switch;Digitools; TP-580R;66;;;2019;1;Unit;3430000;R. Commander (belakang Monitor);4;1500625;2358125;857500
167;1.3.2.10.02.04.024;Switch;Digitools; TP-580T;1;;;2019;1;Unit;3449500;R. Commander (belakang Monitor);4;1509200;2371600;862400
168;1.3.2.10.02.04.024;Switch;Digitools; TP-580T;2;;;2019;1;Unit;3449500;R. Commander (belakang Monitor);4;1509200;2371600;862400
